time,rss_mb,cpu_percent,read_kbs,write_kbs,read_chars_kbs,write_chars_kbs,minor_faults_s,major_faults_s
2025-08-13 15:23:13.645962,705.39,30.0,195520.0,0.0,0.0,0.0,8960.0,0.0
2025-08-13 15:23:13.746299,707.14,30.0,208640.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:13.846623,707.14,30.0,197120.0,0.0,0.0,0.0,650.0,0.0
2025-08-13 15:23:13.946951,707.14,30.0,185920.0,0.0,0.0,0.0,1500.0,0.0
2025-08-13 15:23:14.047321,707.91,40.0,186560.0,0.0,0.0,0.0,19420.0,0.0
2025-08-13 15:23:14.150129,711.87,30.0,198400.0,0.0,0.0,0.0,1600.0,0.0
2025-08-13 15:23:14.250413,712.64,40.0,183040.0,0.0,0.0,0.0,1480.0,0.0
2025-08-13 15:23:14.350713,713.16,20.0,192960.0,0.0,0.0,0.0,1550.0,0.0
2025-08-13 15:23:14.451018,713.68,30.0,198720.0,0.0,0.0,0.0,1600.0,0.0
2025-08-13 15:23:14.551386,714.45,40.0,195840.0,0.0,0.0,0.0,1580.0,0.0
2025-08-13 15:23:14.651752,714.96,20.0,198400.0,0.0,0.0,0.0,1600.0,0.0
2025-08-13 15:23:14.752028,715.48,40.0,176640.0,0.0,0.0,0.0,37300.0,0.0
2025-08-13 15:23:14.852316,723.27,30.0,162560.0,0.0,0.0,0.0,1310.0,0.0
2025-08-13 15:23:14.952603,723.79,30.0,185600.0,0.0,0.0,0.0,1490.0,0.0
2025-08-13 15:23:15.052963,724.3,30.0,193920.0,0.0,0.0,0.0,1570.0,0.0
2025-08-13 15:23:15.155690,724.82,20.0,198720.0,0.0,0.0,0.0,1600.0,0.0
2025-08-13 15:23:15.256013,725.59,30.0,183360.0,0.0,0.0,0.0,1480.0,0.0
2025-08-13 15:23:15.356329,726.11,30.0,190080.0,0.0,0.0,0.0,1520.0,0.0
2025-08-13 15:23:15.456786,726.62,259.8,293080.0,0.0,0.0,2.65,16410.0,0.0
2025-08-13 15:23:15.557339,732.76,459.4,387000.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:15.657894,732.76,449.5,375160.0,0.0,0.0,0.0,10.0,0.0
2025-08-13 15:23:15.758444,732.76,439.4,369200.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:15.858974,732.76,449.6,353920.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:15.959529,732.76,439.5,398680.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.060091,732.76,439.5,400120.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.164285,732.76,459.3,389720.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.264852,732.76,439.5,396840.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.365386,732.76,459.5,382640.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.465944,732.76,439.5,400680.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.566477,732.76,469.5,368360.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.667104,732.76,449.3,370200.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.767769,732.76,459.2,375160.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.868301,732.76,459.5,369840.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:16.968856,732.76,459.4,339560.0,0.0,0.0,1.28,450.0,0.0
2025-08-13 15:23:17.069407,732.76,449.5,371560.0,0.0,0.0,0.0,12940.0,0.0
2025-08-13 15:23:17.173271,735.61,439.2,402240.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.273823,735.61,439.4,381760.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.374415,735.61,449.4,365080.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.474947,735.61,449.4,383800.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.575507,735.61,439.5,385920.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.676068,735.61,459.4,372720.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.776638,735.61,469.4,342320.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.877195,735.61,459.4,384720.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:17.977727,735.61,449.5,394160.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.078238,735.61,439.5,429200.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.182158,735.61,449.3,417680.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.282740,735.61,449.4,382760.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.383291,735.61,459.4,388560.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.484062,735.61,449.3,401640.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.584666,735.61,439.5,419680.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.685200,735.61,459.4,364920.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.785773,735.61,459.4,400040.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.886299,735.61,449.5,384560.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:18.986887,735.61,429.4,409120.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.087398,735.61,459.5,372320.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.190873,735.61,449.3,372160.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.291451,735.61,459.5,359840.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.391992,735.61,469.4,360600.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.492540,735.61,439.5,402720.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.593071,735.61,449.5,381600.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.693611,735.61,389.5,297480.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.794131,735.61,449.5,388240.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.894695,735.61,459.4,368280.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:19.995233,735.61,429.5,405360.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.095777,735.61,519.4,316320.0,0.0,0.0,1.28,550.0,0.0
2025-08-13 15:23:20.199707,735.87,449.3,400560.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.300359,735.87,449.4,391720.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.401012,735.87,439.3,388240.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.501550,735.87,449.5,374760.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.602113,735.87,459.4,382760.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.702672,735.87,449.4,376840.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.803213,735.87,439.5,396920.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:20.903746,735.87,449.5,390400.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:21.004258,735.87,439.5,381040.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:21.108065,735.87,459.2,379000.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:21.208583,735.87,469.4,332440.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:21.309133,735.87,459.5,363080.0,0.0,0.0,0.0,0.0,0.0
2025-08-13 15:23:21.409718,735.87,459.4,391800.0,0.0,0.0,0.0,0.0,0.0
