time,rss_mb,cpu_percent,read_kbs,write_kbs,read_chars_kbs,write_chars_kbs,minor_faults_s,major_faults_s
2025-09-19 16:20:43.149703,573.16,549.4,421800.0,0.0,2745203.44,0.0,211700.0,0.0
2025-09-19 16:20:43.250344,640.19,579.2,156600.0,0.0,2689487.72,0.0,371660.0,0.0
2025-09-19 16:20:43.350905,610.13,529.4,407960.0,0.0,2932826.42,0.0,218150.0,0.0
2025-09-19 16:20:43.451493,526.52,579.3,191920.0,0.0,2841567.02,0.0,329770.0,0.0
2025-09-19 16:20:43.552183,581.95,439.4,457680.0,0.0,2007865.46,0.0,171990.0,0.0
2025-09-19 16:20:43.652863,469.8,778.9,303480.0,0.0,4751609.54,0.0,394900.0,0.0
2025-09-19 16:20:43.753488,624.17,469.4,261720.0,0.0,2284130.62,0.0,218980.0,0.0
2025-09-19 16:20:43.854085,534.61,719.0,406080.0,0.0,4259718.45,0.0,265630.0,0.0
2025-09-19 16:20:43.954666,619.29,489.4,127120.0,0.0,2720807.18,0.0,233310.0,0.0
2025-09-19 16:20:44.055146,528.46,659.3,551840.0,0.0,3688364.7,0.0,285590.0,0.0
2025-09-19 16:20:44.158723,636.44,539.1,191120.0,0.0,2633256.56,0.0,313510.0,0.0
2025-09-19 16:20:44.259386,583.08,519.3,428560.0,0.0,2566815.74,0.0,177960.0,0.0
2025-09-19 16:20:44.360157,479.81,779.0,266040.0,0.0,4581262.92,0.0,369660.0,0.0
2025-09-19 16:20:44.460815,588.12,459.3,298960.0,0.0,2259574.38,0.0,181690.0,0.0
2025-09-19 16:20:44.561320,514.06,719.1,434080.0,0.0,3947006.33,0.0,275220.0,0.0
2025-09-19 16:20:44.661870,590.69,539.4,129360.0,0.0,2852343.72,0.0,240870.0,0.0
2025-09-19 16:20:44.762375,552.92,609.3,538400.0,0.0,3430453.62,0.0,230560.0,0.0
2025-09-19 16:20:44.863033,610.96,629.3,215600.0,0.0,3165041.45,0.0,323360.0,0.0
2025-09-19 16:20:44.963727,584.0,459.3,382680.0,0.0,2177070.33,0.0,112390.0,0.0
2025-09-19 16:20:45.064293,469.56,759.1,273720.0,0.0,3739076.42,0.0,391870.0,0.0
2025-09-19 16:20:45.169061,607.68,508.9,294680.0,0.0,2129899.22,0.0,280870.0,0.0
2025-09-19 16:20:45.269603,553.14,599.3,470080.0,0.0,3395520.63,0.0,244170.0,0.0
2025-09-19 16:20:45.370180,611.08,609.3,151800.0,0.0,3220135.78,0.0,312600.0,0.0
2025-09-19 16:20:45.470771,555.18,529.3,481160.0,0.0,2790913.12,0.0,151350.0,0.0
2025-09-19 16:20:45.571337,468.14,709.2,192120.0,0.0,4201850.62,0.0,353560.0,0.0
2025-09-19 16:20:45.671910,595.11,399.5,336880.0,0.0,2282589.21,0.0,122160.0,0.0
2025-09-19 16:20:45.772481,464.18,719.2,231840.0,0.0,4055572.19,0.0,351010.0,0.0
