SIFT,,,GIST,
BF,Vamana/BF,,BF,Vamana/BF
1K,0.567519069,,1K,0.632401017
10K,0.594159847,,10K,0.834758321
50K,1.909219647,,50K,1.306356813
100K,1.816792069,,100K,1.869891743
250K,3.046746614,,250K,2.56765149
500K,5.476344192,,500K,2.845065461
1M,9.546143929,,1M,3.469761399
