repeat_id,index_type,N,d,metric,topk,nq,threads,hnsw_M,hnsw_efC,hnsw_efS,build_s,search_s,qps,avg_ms_per_q,p50_ms,p95_ms,p99_ms,recall_at_k,index_bytes
1,flat,50000,64,l2,10,1000,16,,,,0.003981,0.297548,3360.797,0.298,1.076,4.772,12.263,1.000000,12800045
1,hnsw,50000,64,l2,10,1000,16,16,100,64,6.029606,0.051979,19238.633,0.052,0.257,0.439,10.812,0.720400,20015290
1,hnsw,50000,64,l2,10,1000,16,16,100,128,6.832892,0.063913,15646.254,0.064,0.415,0.489,9.309,0.854000,20015290
1,hnsw,50000,64,l2,10,1000,16,16,100,256,6.767470,0.100682,9932.231,0.101,0.673,3.404,15.499,0.935400,20015290
1,hnsw,50000,64,l2,10,1000,16,16,200,64,10.066997,0.061257,16324.668,0.061,0.263,0.870,14.102,0.743600,20015290
1,hnsw,50000,64,l2,10,1000,16,16,200,128,9.749838,0.061183,16344.482,0.061,0.446,2.599,9.254,0.877600,20015290
1,hnsw,50000,64,l2,10,1000,16,16,200,256,11.499872,0.109733,9112.991,0.110,0.758,1.626,9.909,0.956900,20015290
1,hnsw,50000,64,l2,10,1000,16,32,100,64,8.339159,0.046564,21475.915,0.047,0.312,0.408,9.167,0.847800,26412578
1,hnsw,50000,64,l2,10,1000,16,32,100,128,9.431905,0.070756,14133.050,0.071,0.597,3.379,16.624,0.949500,26412578
1,hnsw,50000,64,l2,10,1000,16,32,100,256,10.442604,0.135251,7393.675,0.135,1.094,1.286,2.963,0.985600,26412578
1,hnsw,50000,64,l2,10,1000,16,32,200,64,13.385290,0.040137,24914.695,0.040,0.392,0.504,8.816,0.874700,26412578
1,hnsw,50000,64,l2,10,1000,16,32,200,128,13.211936,0.080386,12440.052,0.080,0.508,6.606,9.833,0.965200,26412578
1,hnsw,50000,64,l2,10,1000,16,32,200,256,18.301837,0.138064,7243.040,0.138,0.950,4.180,10.036,0.991800,26412578
0,flat,100000,64,l2,10,1000,16,,,,0.019874,0.505141,1979.646,0.505,3.183,3.842,4.205,1.000000,25600045
0,hnsw,100000,64,l2,10,1000,16,16,100,64,13.274783,0.044607,22417.977,0.045,0.278,0.350,11.908,0.634000,40033274
0,hnsw,100000,64,l2,10,1000,16,16,100,128,13.083304,0.061109,16364.132,0.061,0.468,0.585,9.013,0.779300,40033274
0,hnsw,100000,64,l2,10,1000,16,16,100,256,14.966585,0.114533,8731.115,0.115,0.935,1.104,5.041,0.884200,40033274
0,hnsw,100000,64,l2,10,1000,16,16,200,64,22.250439,0.044331,22557.715,0.044,0.288,0.350,8.402,0.665900,40033274
0,flat,10000,64,l2,10,1000,16,,,,0.001938,0.110850,9021.235,0.111,0.301,0.316,8.804,1.000000,2560045
0,hnsw,10000,64,l2,10,1000,16,16,100,64,0.912925,0.027059,36956.377,0.027,0.138,0.151,9.894,0.898500,4000442
0,hnsw,10000,64,l2,10,1000,16,16,100,128,0.857565,0.051534,19404.731,0.052,0.271,0.312,15.595,0.970700,4000442
0,hnsw,10000,64,l2,10,1000,16,16,100,256,1.024093,0.094358,10597.912,0.094,0.558,0.736,9.207,0.993100,4000442
0,hnsw,10000,64,l2,10,1000,16,16,200,64,1.100488,0.024944,40089.789,0.025,0.138,0.147,0.151,0.909400,4000442
0,hnsw,10000,64,l2,10,1000,16,16,200,128,1.188671,0.045021,22212.060,0.045,0.272,0.300,0.336,0.977700,4000442
0,hnsw,10000,64,l2,10,1000,16,16,200,256,1.253815,0.082264,12155.986,0.082,0.563,0.600,0.627,0.995700,4000442
0,hnsw,10000,64,l2,10,1000,16,32,100,64,0.858088,0.027276,36661.774,0.027,0.178,0.189,0.209,0.957300,5277858
0,hnsw,10000,64,l2,10,1000,16,32,100,128,0.776547,0.054175,18458.641,0.054,0.338,0.365,0.506,0.993000,5277858
0,hnsw,10000,64,l2,10,1000,16,32,100,256,0.757921,0.096742,10336.738,0.097,0.644,0.656,0.667,0.998500,5277858
0,hnsw,10000,64,l2,10,1000,16,32,200,64,1.305763,0.038129,26226.468,0.038,0.197,0.211,8.441,0.968100,5277858
0,hnsw,10000,64,l2,10,1000,16,32,200,128,1.132964,0.048518,20610.780,0.049,0.364,0.393,9.030,0.995100,5277858
0,hnsw,10000,64,l2,10,1000,16,32,200,256,1.239735,0.090381,11064.313,0.090,0.694,5.790,9.659,0.999600,5277858
1,flat,10000,64,l2,10,1000,16,,,,0.000824,0.086304,11586.887,0.086,0.295,0.302,0.311,1.000000,2560045
1,hnsw,10000,64,l2,10,1000,16,16,100,64,0.695200,0.027627,36196.242,0.028,0.139,0.150,0.162,0.898500,4000442
1,hnsw,10000,64,l2,10,1000,16,16,100,128,0.694253,0.042727,23404.576,0.043,0.274,0.913,6.450,0.969200,4000442
1,hnsw,10000,64,l2,10,1000,16,16,100,256,0.854794,0.077018,12984.002,0.077,0.571,0.716,9.153,0.993000,4000442
1,hnsw,10000,64,l2,10,1000,16,16,200,64,1.148105,0.025953,38531.210,0.026,0.142,0.157,6.795,0.905600,4000442
1,hnsw,10000,64,l2,10,1000,16,16,200,128,1.152813,0.050119,19952.375,0.050,0.282,0.326,9.234,0.976000,4000442
1,hnsw,10000,64,l2,10,1000,16,16,200,256,1.108313,0.085242,11731.356,0.085,0.573,5.449,9.287,0.995300,4000442
1,hnsw,10000,64,l2,10,1000,16,32,100,64,0.864190,0.031295,31954.243,0.031,0.180,0.193,0.222,0.958100,5277858
1,hnsw,10000,64,l2,10,1000,16,32,100,128,0.701788,0.047689,20969.285,0.048,0.339,0.365,8.395,0.991300,5277858
1,hnsw,10000,64,l2,10,1000,16,32,100,256,0.712493,0.094240,10611.219,0.094,0.667,4.676,9.400,0.998300,5277858
1,hnsw,10000,64,l2,10,1000,16,32,200,64,1.129091,0.026643,37533.132,0.027,0.191,0.202,0.208,0.965600,5277858
1,hnsw,10000,64,l2,10,1000,16,32,200,128,1.293921,0.055971,17866.544,0.056,0.365,0.439,16.584,0.994600,5277858
1,hnsw,10000,64,l2,10,1000,16,32,200,256,0.965416,0.091508,10928.025,0.092,0.701,8.783,9.715,0.999000,5277858
0,flat,50000,64,l2,10,1000,16,,,,0.009668,0.313106,3193.810,0.313,1.459,1.541,1.861,1.000000,12800045
0,hnsw,50000,64,l2,10,1000,16,16,100,64,5.642504,0.034545,28947.839,0.035,0.238,0.304,14.324,0.720300,20015290
0,hnsw,50000,64,l2,10,1000,16,16,100,128,5.717717,0.047358,21115.588,0.047,0.428,0.530,9.382,0.853000,20015290
0,hnsw,50000,64,l2,10,1000,16,16,100,256,5.785563,0.098001,10204.015,0.098,0.811,0.952,9.469,0.932800,20015290
0,hnsw,50000,64,l2,10,1000,16,16,200,64,5.820174,0.029372,34046.290,0.029,0.232,0.288,15.965,0.744600,20015290
0,hnsw,50000,64,l2,10,1000,16,16,200,128,6.979068,0.048468,20632.103,0.048,0.402,0.464,0.658,0.876900,20015290
