B(MB),E(K),QPS,Recall@10
750,100,699.22,92.97
,,413.99,96.42
,,296.14,97.81
,,226.35,98.54
,,181.77,99
,,154.45,99.19
,,131.72,99.32
405,10,618.3,92.97
,,378.7,96.42
,,264.76,97.81
,,195.39,98.54
,,165.4,99
,,137.4,99.19
,,118.61,99.32
377,1,570.3,92.97
,,370.17,96.42
,,261.24,97.81
,,198.03,98.54
,,160.3,99
,,135.07,99.19
,,117.06,99.32
